title;price;rating;reviews;specifications
ANTEMPER 2025 14.1 Inch Windows 11 Laptop Computer, 512GB SSD 8GB RAM, Celeron N4020C,1080P Full HD Laptops, USB3.0, Webcam,Type-c,5000mAh Battery, Gray, Notebook for Office Family Student;$209.99;3.0 out of 5 stars;3 ratings;Brand   ANTEMPER     Model Name   D-1420     Screen Size   14.1 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   Celeron N4020     Ram Memory Installed Size   8 GB     Operating System   Windows 11 Pro     Graphics Card Description   Integrated     Graphics Coprocessor   Intel UHD Graphics 600
"15.6"" Laptop Computer,16GB RAM 512GB SSD, Intel Celeron Quad-Core N5095 Processor, Laptop Computers with FHD IPS 1920x1080 Display,2.4/5G WiFi, Bluetooth, Type-C, Mini HDMI, USB 3.0";$205.99;4.3 out of 5 stars;15 ratings;Brand   UGRIHACH     Model Name   UG-LT-1504     Screen Size   15.6     Color   Silver     Hard Disk Size   512 GB     CPU Model   Celeron N     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Graphics Card Description   Integrated     CPU Speed   2.9
HP ProBook 450 G10 Business Laptop 15.6” FHD Display, Intel 10 Core i7-1355U, 32GB RAM, 1TB NVMe, Wi-Fi 6, RJ-45, Webcam, HDMI, Backlit Keyboard, Win 11 Pro - Silver w/USB Drive;$869.95;3.3 out of 5 stars;3 ratings;Brand   HP     Model Name   ProBook 450 G10     Screen Size   15.6 Inches     Color   Pike Silver Plastic     Hard Disk Size   1 TB     CPU Model   Core i7     Ram Memory Installed Size   32 GB     Operating System   Windows 11 Pro     Special Feature   Business laptop, HP ProBook 450 G10, Backlit Keyboard     Graphics Card Description   Integrated
"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black";$152.00;4.5 out of 5 stars;10,329 ratings;Brand   acer     Model Name   Gateway Chromebook 311 CBO311-1H-C1MX     Screen Size   11.6 Inches     Color   Black     CPU Model   Celeron     Ram Memory Installed Size   4 GB     Operating System   Chrome OS     Graphics Card Description   Integrated     Graphics Coprocessor   Intel UHD Graphics     CPU Speed   1.1 GHz
"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue";$313.00;4.3 out of 5 stars;78 ratings;Brand   ASUS     Model Name   5Z8N     Screen Size   14 Inches     Color   Blue     Hard Disk Size   512 GB     CPU Model   Core i3 Family     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Touchpad     Graphics Card Description   Integrated
"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver";$919.00;4.2 out of 5 stars;442 ratings;Brand   HP     Model Name   TPN-I139_4V788AV     Screen Size   17.3 Inches     Color   Silver     Hard Disk Size   2 TB     CPU Model   Core i7 Family     Ram Memory Installed Size   64 GB     Operating System   Windows 11 Home     Special Feature   HD Audio, Numeric Keypad     Graphics Card Description   Integrated
Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue;$209.00;4.2 out of 5 stars;453 ratings;Brand   Lenovo     Model Name   IdeaPad 3     Screen Size   15.6 Inches     Color   Blue     Hard Disk Size   64 GB     CPU Model   Celeron P4500     Ram Memory Installed Size   8 GB     Operating System   Chrome OS     Special Feature   Narrow     Graphics Card Description   Integrated
"Lenovo IdeaPad Slim 3 Chromebook - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display - HD 720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue";$178.05;4.6 out of 5 stars;22 ratings;Brand   Lenovo     Model Name   Slim 3 Chromebook     Screen Size   14 Inches     Color   Abyss Blue     CPU Model   MediaTek Kompanio 520     Ram Memory Installed Size   4 GB     Operating System   Chrome OS     Graphics Card Description   Integrated     Graphics Coprocessor   MediaTek     CPU Speed   2
2024 Gaming Laptop, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5825U Processor(8C/16T) with Backlit Keyboard,16GB DDR4 512GB M.2 2280 NVMe SSD Laptop Computer,Type-C WiFi6;$599.98;5.0 out of 5 stars;16 ratings;Brand   MALLRACE     Model Name   AX16PRO     Screen Size   16.1 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   AMD Ryzen 7     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
"Dell Inspiron 15 3525 Laptop, 15.6"" FHD Display, 16GB RAM,512GB SSD, AMD Ryzen 5 5500U Processor, AMD Radeon Graphics, SD Card Reader, WiFi, Bluetooth, Webcam, Windows 11 Home, Alpacatec Accessories";$499.00;3.4 out of 5 stars;3 ratings;Brand   Dell     Model Name   Dell     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   512 GB     CPU Model   Ryzen 5     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Anti Glare Coating     Graphics Card Description   Dedicated
"Lenovo ThinkPad E16 Business Laptop, 16"" WUXGA Display, AMD Ryzen 5 7530U (Beat i7-1165G7), 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, RJ-45, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Black";$659.00;4.2 out of 5 stars;132 ratings;Brand   Lenovo     Model Name   21JT     Screen Size   16 Inches     Color   Black     Hard Disk Size   1 TB     CPU Model   Ryzen 5     Ram Memory Installed Size   24 GB     Operating System   Windows 11 Pro     Special Feature   Fingerprint Reader     Graphics Card Description   Integrated
Laptop,15.6In Windows 11 Pro Traditional Gaming Laptops Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB DDR4 512GB Hard Drive for Business, School, Offic;$359.99;5.0 out of 5 stars;9 ratings;Brand   MALLRACE     Model Name   LX15     Screen Size   15.6 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Laptop,17.3-Inch FHD Display Gaming Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver;$399.98;5.0 out of 5 stars;11 ratings;Brand   MALLRACE     Model Name   AX17     Screen Size   17.3 Inches     Color   Sliver     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver";$397.99;4.1 out of 5 stars;787 ratings;Brand   HP     Model Name   hp laptop     Screen Size   15.6 Inches     Color   Silver     Hard Disk Size   1 TB     CPU Model   Intel Core i3     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Anti-glare     Graphics Card Description   Integrated
"Dell Inspiron 3520 15.6"" Touchscreen i7 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black";$676.00;4.8 out of 5 stars;7 ratings;Brand   Dell     Model Name   Inspiron 15 3520     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   1 TB     CPU Model   Core i7 Family     Ram Memory Installed Size   32 GB     Operating System   Windows 11 Home     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Gaming Laptop, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5825U Processor(8C/16T) with Backlit Keyboard,16GB DDR4 512GB M.2 2280 NVMe SSD Laptop Computer,Type-C WiFi6;$599.98;5.0 out of 5 stars;16 ratings;Brand   MALLRACE     Model Name   AX16PRO     Screen Size   16.1 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   AMD Ryzen 7     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
"ASUS Chromebook CX1, 15.6"" FHD NanoEdge Display, Intel Celeron N4500 Processor, 64GB eMMC Storage, 8GB RAM, ChromeOS, Transparent Silver, CX1500CKA-AS84F";$189.99;4.3 out of 5 stars;202 ratings;Brand   ASUS     Model Name   Chromebook CX1     Screen Size   14 Inches     Color   Transparent Silver     Hard Disk Size   64 GB     CPU Model   Celeron     Ram Memory Installed Size   8 GB     Operating System   Chrome OS     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"Acer Predator Helios Neo 16 Gaming Laptop | Intel Core i7-13650HX | NVIDIA GeForce RTX 4060 | 16"" WUXGA 1920 x 1200 165Hz G-SYNC Display | 16GB DDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PHN16-71-76H5";$999.99;4.5 out of 5 stars;1,968 ratings;Brand   acer     Model Name   Predator Helios Neo 16 Gaming Laptop     Screen Size   16 Inches     Color   Black     Hard Disk Size   512 GB     CPU Model   Intel Core i7     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard, Memory Card Slot     Graphics Card Description   Dedicated
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Gold";$309.00;4.2 out of 5 stars;352 ratings;Brand   HP     Model Name   HP Stream     Screen Size   14 Inches     Color   Gold     Hard Disk Size   128 GB     CPU Model   Celeron     Ram Memory Installed Size   16 GB     Operating System   Windows 11 S     Special Feature   Anti Glare Coating     Graphics Card Description   Integrated
"ASUS ROG Strix G17 Gaming Laptop, 17.3"" FHD 144Hz, AMD Ryzen 9 7845HX, GeForce RTX 4070, 64GB DDR5 RAM, 1TB PCIe M.2 SSD, HDMI, USB 3.2 Gen 1, Wi-Fi 6, RGB Backlit Keyboard, Windows 11 Pro, Black";$1,669.00;4.1 out of 5 stars;15 ratings;Brand   ASUS     Model Name   G713P     Screen Size   17.3 Inches     Color   Black     Hard Disk Size   1 TB     CPU Model   Ryzen 9     Ram Memory Installed Size   64 GB     Operating System   Windows 11 Pro     Special Feature   Anti Glare Coating, Numeric Keypad     Graphics Card Description   Dedicated
ASUS Zenbook Duo Laptop, Dual 14” OLED 3K 120Hz Touch Display, Intel Evo Certified, Intel Core Ultra 9 185H CPU, Intel Arc Graphics, 32GB RAM, 1TB SSD, Windows 11, Inkwell Gray, UX8406MA-PS99T;$1,619.00;4.2 out of 5 stars;195 ratings;Brand   ASUS     Model Name   UX8406MA-PS99T     Screen Size   14 Inches     Color   Inkwell Gray     CPU Model   Core i9     Ram Memory Installed Size   32 GB     Operating System   Windows 11 Home     Special Feature   Portable, Support Stylus     Graphics Card Description   Integrated     Graphics Coprocessor   Intel Iris
2024 Gaming Laptop, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5825U Processor(8C/16T) with Backlit Keyboard,16GB DDR4 512GB M.2 2280 NVMe SSD Laptop Computer,Type-C WiFi6;$599.98;5.0 out of 5 stars;16 ratings;Brand   MALLRACE     Model Name   AX16PRO     Screen Size   16.1 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   AMD Ryzen 7     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
jumper Laptop, 12GB RAM 640GB ROM, 5305U Processor, 15.6 Inch Computer with Office 365 1-Year Subscription, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, Type-C, WiFi-5.;$359.99;4.7 out of 5 stars;56 ratings;Brand   jumper     Model Name   EZbook S7Hi     Screen Size   15.6 Inches     Hard Disk Size   640 GB     CPU Model   Celeron     Ram Memory Installed Size   12 GB     Operating System   Windows 11     Special Feature   HD Audio, Office 365 1-Year, Memory Card Slot, Numeric Keypad     Graphics Card Description   Integrated     Graphics Coprocessor   Intel UHD Graphics
